ext_gene,value
CG16791,5647.760522
CG16798,2313
CG16799,561.2921352
CG16800,831
CG16812,1522
CG16813,609.5
CG16815,519
CG16817,914.7629292
CG16820,1375
CG16824,208
CG16825,1689
CG16826,1008.533148
CG16833,3242.737034
CG16836,184
CG16837,377
CG16848,999
CG16852,636
CG16853,854
CG16854,2444.035172
CG16863,1995.301034
CG16865,803.6079239
CG16868,4975
CG1688,3917
CG16884,1214
CG16885,1134
CG16886,2140.375
CG16888,358
CG16890,976.2934728
CG16892,1637.310183
CG16894,836
CG16896,3123
CG16898,1126
CG1690,874
CG16903,1737
CG16904,781
CG16908,3177
CG16926,718.3537119
CG16935,1057.876247
CG16940,3385.839442
CG16941,2359
CG16947,2020.460283
CG1695,6039
CG16952,3726.697225
CG16953,2614
CG16956,538
CG16957,579
CG16959,1786.500703
CG16964,492
CG16965,2101
CG16972,5683
CG16974,4318.159243
CG16978,210
CG16979,1847
CG1698,2105.792332
CG16984,963
CG16985,442
CG16986,512.2665154
CG16989,3169.140885
CG16995,522
CG16998,578
CG17002,1483.423427
CG17003,930
CG17005,1651
CG1701,753
CG17010,1214
CG17018,4185.850737
CG17019,2570.646129
CG17026,805
CG17027,1245.318288
CG17028,830.6456231
CG17029,839.8396974
CG1703,2799.007797
CG17030,568
CG17032,945.462977
CG17036,1469.869743
CG17047,1418.792277
CG17048,453
CG17059,224
CG17065,1380.086679
CG17068,2586
CG17075,6996.980089
CG17078,1980.263132
CG17083,1760
CG17097,3193
CG17098,2538
CG17104,1606.998651
CG17105,297.8446951
CG17107,315.5448315
CG17108,965
CG17109,1123.549214
CG17110,1904.862615
CG17111,2760
CG17118,780
CG17119,1285.18286
CG17121,1234
CG17122,1748
CG17124,1190.491515
CG17127,241.545434
CG17129,2110.348272
CG17134,1064
CG17139,2199
CG17140,1481.856092
CG17141,900
CG17145,928.804422
CG17147,937
CG17154,401
CG17159,4350.892995
CG17162,3505.848813
CG17163,1349.955408
CG17167,2362.443919
CG17168,1317
CG17169,333
CG17173,1382
CG17177,3803
CG1718,6371.485177
CG17180,903.0805835
CG17186,1283
CG17187,1064
CG17189,796
CG17190,733
CG17191,891
CG17192,853
CG17193,3472.760001
CG17195,724
CG17196,712.6784409
CG17197,1759
CG17198,957.6089804
CG17199,1392
CG17202,578
CG17207,1124
CG17209,4221
CG17211,4960
CG17217,427
CG17219,1054
CG1722,974
CG17221,1240.664477
CG17224,1035.308325
CG17230,2080.408766
CG17233,4171.955941
CG17234,609
CG17237,715
CG17239,590.2825863
CG1724,644
CG17242,836
CG17244,543.0984526
CG17249,1335
CG17258,2655.775771
CG17260,1117.3073
CG17261,573.078933
CG17264,2480.375
CG17265,3062
CG17266,537.3021154
CG17267,1311
CG17270,1091.985041
CG17271,1194.282661
CG17272,471
CG17278,1735
CG17279,573.2494475
CG17283,1386
CG17287,1584
CG17290,1242.5
CG17292,1271.420545
CG17294,813
CG17298,296
CG17300,500
CG17321,2324.261043
CG17322,1631.577389
CG17323,1820.459824
CG17324,1481
CG17325,522.4913534
CG17327,551.5245093
CG17328,1268.520114
CG17329,466
CG17333,648
CG17337,1445.580204
CG17343,372
CG17344,604
CG17349,948
CG17350,916
CG17352,2991.004822
CG17359,1153
CG17360,4824.636279
CG17361,666
CG17362,366
CG17364,3674.320662
CG1737,4093.919635
CG17375,939.436614
CG17376,298.0095898
CG17377,645
CG17378,2496.506962
CG1738,600
CG17380,869
CG17385,1027.065521
CG17386,4198.618818
CG17387,2894
CG17404,715
CG17440,1101
CG17450,1656.853442
CG17454,692.1344964
CG17470,740
CG17472,383
CG17475,824.0257698
CG17477,652
CG17486,1605
CG1749,1233
CG17490,2139.804587
CG17493,1322.530342
CG1750,876
CG17508,991.9611041
CG17514,7366.893439
CG17528,2792.487047
CG17544,2341.334574
CG17549,922.3224811
CG17556,1007.309119
CG17560,1513
CG17562,1475
CG17564,1106
CG17565,1370
CG17568,1640
CG17570,807
CG17571,790.8334323
CG17572,1145
CG17574,839.1995851
CG17575,737
CG17580,887
CG17593,1530.883637
CG17597,1206.879637
CG17598,2660.724121
CG17599,1557
CG17600,1015.682909
CG17601,761
CG17612,1753.211237
CG17625,360
CG17633,1151
CG17636,1730.254957
CG17637,1316
CG1764,1257.427392
CG17646,3018.317369
CG17648,342
CG17650,335
CG17652,712.7320549
CG17658,1676
CG17660,2158
CG17662,703
CG17664,834.7086254
CG17666,2251.515633
CG17669,1527
CG17672,1284
CG17680,502
CG17681,1083
CG17683,1623.868952
CG17684,1958.554816
CG17687,4613
CG17691,997.5476943
CG17698,2069.634407
CG17707,3589.829909
CG17712,1237
CG17715,1656.183018
CG17717,875
CG17721,484.5876795
CG17724,3373.632404
CG17726,1210
CG1773,924
CG17732,2174
CG17734,623.6813173
CG17737,482
CG17738,212
CG17739,2631
CG1774,1587.625829
CG17744,727
CG17746,1437.693315
CG17751,1467
CG17752,1517
CG17754,2615.364649
CG17760,1336
CG17764,958
CG17765,790
CG17768,449.2789757
CG17770,1025
CG17776,237.8842026
CG17777,409.8130213
CG17778,1014.047774
CG17780,1257
CG17781,1307
CG17782,1285
CG17784,515
CG17786,3889
CG17801,1021
CG17802,1507
CG17803,1966.307368
CG17806,1414
CG17807,1725
CG17816,3914.65419
CG17819,447
CG17821,874
CG17826,2130
CG17829,2035.204523
CG17834,1366.323396
CG17839,5786.810738
CG17840,2530
CG17841,2892
CG17843,1601
CG1785,1686
CG17855,1534
CG17883,1434.774098
CG1789,661
CG17896,1771.356247
CG17904,876
CG17906,772
CG1791,980.1699719
CG17917,507
CG17919,579
CG1792,1145
CG17928,1447.148236
CG17929,1471
CG17930,1454
CG17931,612.3006846
CG17944,557
CG17959,288
CG17974,834
CG17977,767
CG17982,891.4586465
CG17985,1280
CG17991,865
CG17994,1563
CG17996,330
CG17999,1492
CG18003,1123
CG18004,852.078208
CG1801,5104
CG18011,3130
CG18012,1416
CG18031,1482
CG18048,1210
CG1806,1424.356829
CG18063,1077.04413
CG18065,1432
CG18067,675.0716283
CG18081,555.0846604
CG18088,1907.857575
CG1809,1487
CG18094,1044.493342
CG18095,1769.508322
CG18107,82.002
CG18109,5802
CG1812,3030
CG18128,940
CG18130,2145
CG18131,1255
CG18132,485
CG18135,2650.280775
CG1814,1615.088484
CG1815,5662.764819
CG18155,1848
CG18170,5381.207587
CG18171,2339
CG18173,1727.546557
CG18178,1079.40503
CG18179,671
CG18180,702
CG18190,878
CG18208,9518.005559
CG18213,2793.850336
CG18223,790
CG18231,1349
CG18233,1349
CG18234,1376
CG1824,2310
CG18249,1803.330679
CG18258,1298
CG18259,1856
CG18262,1387
CG18265,7023.179953
CG18266,1605
CG18268,1233
CG18269,720
CG1827,1142
CG18273,4143
CG18278,1478
CG18281,1466
CG18284,1340
CG18294,308
CG18301,1172
CG18302,1945
CG18304,6095.238294
CG18324,976.7370947
CG18327,831.8544883
CG18335,1147
CG18336,460.047623
CG18343,349.4674776
CG1835,397.9315182
CG18367,185
CG18368,3660
CG18371,278
CG1840,519.9882048
CG18404,408
CG18417,1281
CG18418,943
CG18420,1658
CG18428,398.2106869
CG18446,1916
CG18449,566
CG18467,1263
CG18469,310
CG1847,1577
CG18472,1426
CG18473,1083
CG18476,2747
CG18477,1284
CG18478,751
CG18480,2156.489151
CG18493,1367
CG1850,2204
CG18507,1987.042751
CG18508,461.1078343
CG18518,891
CG18528,1477
CG18530,989
CG18536,589
CG18537,408
CG18538,350
CG18539,391
CG18540,428
CG18542,1064
CG18545,461
CG18547,932
CG18549,1805
CG18557,874
CG18558,1614
CG18563,1052
CG18568,1243.819096
CG18577,611
CG18581,461
CG18585,1159.852995
CG18586,1643.210839
CG18596,3466
CG18598,161
CG18599,1648
CG18600,1215
CG18605,1390
CG18606,814
CG18607,545
CG18609,790
CG18622,633.4950811
CG18628,135
CG18635,1874
CG18636,904
CG18641,1591
CG18643,325.7614934
CG18649,290
CG18659,3072.416753
CG18661,654.5474638
CG18662,447
CG18666,315
CG18672,836
CG18673,861
CG18675,1409
CG18731,407.2937394
CG18735,980
CG18744,1137
CG18745,1368
CG18746,1288
CG18747,1209
CG18748,1208.413184
CG18749,3224.848368
CG18754,1412.516296
CG18764,1179
CG18765,1042
CG18766,1418.059334
CG18769,1692.622765
CG18787,1187
CG18788,1605
CG18789,1190
CG18808,1155
CG18809,1992.574112
CG18810,969
CG18812,2102.846444
CG18814,757
CG18815,1050.847108
CG1882,1669.238184
CG18823,468
CG1885,1280.536011
CG18853,958
CG18858,1661.346713
CG18869,1656.299174
CG18870,1869.14932
CG1888,1292.365018
CG1889,1100.08329
CG1890,505
CG1894,1226
CG1896,636
CG1902,1555.690059
CG1907,1424
CG1909,2181.750013
CG1910,2792.58438
CG1924,1988
CG1927,927.9014176
CG1941,1153.340023
CG1942,1106
CG1943,862.3245879
CG1946,990
CG1951,3025
CG1958,781
CG1965,2956.241357
CG1968,1829.921364
CG1969,1091.220344
CG1971,879.8610911
CG1979,3226
CG1983,1057.100785
CG1986,1603.5
CG1988,1856.388535
CG1998,1075.689056
CG1999,892
CG2003,1616.486198
CG2004,1414.538097
CG2006,1698.997971
CG2010,1807.627238
CG2016,808.1985383
CG2017,2060.360255
CG2021,203
CG2023,1916.546352
CG2025,3855
CG2034,962.844765
CG2046,694
CG2051,1386.720824
CG2053,1032
CG2059,943.5136605
CG2061,1875.576723
CG2063,996
CG2064,1011
CG2065,1007.070887
CG2070,1018.15551
CG2076,1186.157332
CG2082,1854.125489
CG2091,1136
CG2100,1393.690447
CG2104,1525.094391
CG2111,2606
CG2113,715.0000002
CG2116,1773
CG2118,2227.154315
CG2120,956
CG2121,1718.122703
CG2124,2583
CG2126,1118
CG2127,1441
CG2129,1818
CG2137,2180
CG2144,2710
CG2145,1797.203977
CG2147,547
CG2150,971
CG2157,777.1306498
CG2162,2000.394249
CG2182,2216
CG2186,6067.471963
CG2187,1972.775697
CG2199,2451.898863
CG2200,901.8759574
CG2201,1993.844479
CG2202,3164
CG2209,553
CG2211,1132.223057
CG2217,2169.656042
CG2218,2212.48499
CG2224,1910.692205
CG2225,4835.133613
CG2233,1281
CG2246,1399.554891
CG2247,3424.371095
CG2254,1205
CG2256,947
CG2258,4593.46669
CG2260,1805
CG2267,1533.5
CG2269,3322.398316
CG2277,1835.45421
CG2278,4003.581014
CG2291,606
CG2292,2873
CG2310,971.5187072
CG2316,2611.098074
CG2321,2838.165848
CG2336,1159
CG2371,955.7881915
CG2444,493.0544257
CG2453,1044.107381
CG2469,3516.992303
CG2493,1525.606836
CG2519,5419.983791
CG2528,2143
CG2533,573
CG2540,1035
CG2543,1860.490514
CG2556,2105
CG2574,697
CG2577,1132
Cg25C,5802.035946
CG2604,1422.614514
CG2608,1278
CG2611,435
CG2614,2046.609669
CG2616,1473.5
CG2617,956.2603424
CG2641,1311
CG2650,814
CG2652,747
CG2656,817
CG2658,2863.871398
CG2662,1533.653515
CG2663,1088
CG2678,1634.148451
CG2680,982
CG2681,2084
CG2685,1753
CG2691,4309.354528
CG2694,2872.033104
CG2698,2948.264217
CG2701,2226
CG2712,1605
CG2736,1527
CG2747,6825.893276
CG2750,5648.053742
CG2765,2097.224063
CG2767,1110
CG2772,1139
CG2781,1775
CG2790,1558
CG2794,2111
CG2807,4016.309087
CG2811,454.9088671
CG2812,1126
CG2816,343
CG2818,2414.405407
CG2837,910.1169375
CG2839,2350
CG2841,4492.135574
CG2846,852.6037651
CG2852,725.842779
CG2854,1444
CG2861,5654.670588
CG2862,369.976729
CG2865,3988.283437
CG2871,1193
CG2875,1567.3217
CG2887,1035
CG2889,1905.221293
CG2898,1056
CG2901,2522
CG2906,1390.633028
CG2909,1819
CG2911,756.604557
CG2915,1428.309077
CG2918,3075.137281
CG2921,1398
CG2924,2581.062537
CG2926,8030.556974
CG2930,2573.367434
CG2931,915
CG2938,3510.03646
CG2941,3335.056325
CG2955,1726
CG2962,1159
CG2964,1731
CG2970,1019.363541
CG2972,1519.644883
CG2974,1001
CG2975,1685
CG2982,2046.939323
CG2983,1108
CG2990,3482.721335
CG2991,2768.355979
CG2993,2951.130415
CG30001,1128
CG30002,1373
CG30007,5506.943884
CG30008,766
CG30010,611.2686741
CG30015,4979.866129
CG30016,247
CG30020,4474.462494
CG30022,1157
CG30025,611
CG30026,622
CG30031,612
CG30033,538.3136149
CG30036,1229
CG30037,1188
CG30039,528
CG30043,2883
CG30046,2710.262403
CG30047,2610
CG30048,3929
CG30049,2597
CG30050,471
CG30051,477
CG30053,889
CG30054,864.0113848
CG30056,397
CG30058,1270.971988
CG30059,1484
CG30060,471
CG30062,411
CG30065,474
CG30069,12609
CG30075,504
CG30076,1630
CG3008,2064
CG30080,1865.729108
CG30082,644
CG30083,669
CG30087,635
CG30088,727
CG30089,3142.870292
CG3009,1606.323651
CG30090,800
CG30091,1482
CG30094,476
CG30095,446
CG30096,931
CG30098,610
CG30099,563
CG30100,512.9014454
CG30101,1346
CG30103,1823
CG30105,443
CG30108,353
CG30109,410
CG3011,1538.468913
CG30110,1853
CG30114,1025
CG30116,6507.38384
CG30120,2334
CG30122,4423.340563
CG3014,2147.657109
CG30148,554.0979526
CG30151,763
CG30154,308
CG30156,1284.666666
CG30157,756.5418748
CG30158,3458
CG30159,1186.705926
CG30160,645
CG30161,647
CG30172,342.9608013
CG30177,1330
CG30178,495
CG30183,5146.601041
CG30184,609
CG30187,1389.125
CG30192,174
CG30195,376
CG30196,297
CG30197,282
CG30203,2678
CG3021,1213
CG30222,1385.125866
CG30259,1572
CG30265,1423
CG30268,3562
CG30269,897.5461937
CG30270,364
CG30271,1586.676513
CG30273,1035
CG30274,2680
CG30275,3782.666667
CG30278,750.686286
CG30280,851.3747209
CG30281,808
CG30283,623
CG30284,919.4027779
CG30285,376
CG30286,725.6650265
CG30287,756
CG30288,766
CG30289,965
CG30291,1456
CG3032,1296.070783
CG30323,760.0305803
CG30324,449
CG30325,2271
CG30334,424.21659
CG30338,840
CG30339,824
CG30340,1033
CG30343,883.5921223
CG30344,1948
CG30345,2018
CG30349,1815
CG30350,1166
CG30355,552
CG30356,339
CG30357,1326
CG3036,2514.331307
CG30369,300
CG30371,1059
CG30373,434.9049036
CG30375,1200
CG30376,742
CG30377,3798.111835
CG30378,955
CG30379,689
CG3038,1512.095865
CG30380,260
CG30381,978.9518472
CG30382,742.6434106
CG30383,767
CG30384,2103
CG30385,1496
CG30389,4264.974259
CG30391,1339
CG30392,915.738195
CG30393,1017
CG30394,2816.773724
CG30395,2671
CG30398,830
CG3040,871
CG30401,989
CG30403,1069
CG30411,1038
CG30412,899.3333333
CG30413,327
CG30414,861.2419664
CG30415,479.424391
CG30416,1648.5
CG30419,3613
CG30423,456
CG30424,791.1632797
CG30427,1713.701776
CG30428,780.6509737
CG30429,861
CG30430,156
CG30431,1650
CG30432,681
CG30438,2277.399955
CG30440,3244
CG30441,207
CG30447,600.3333333
CG3045,1464
CG30456,2341.130304
CG30457,447
CG30458,415
CG30460,4933.481257
CG30461,662
CG30463,3843.677563
CG30466,1619.940974
CG30467,1583
CG30471,2236
CG30472,640
CG30479,1604.405264
CG30480,2917.515534
CG30484,3075
CG30485,2903
CG30486,660
CG30487,529
CG30491,964.3786643
CG30493,1378
CG30495,1406.31815
CG30496,2180
CG30497,4982.516415
CG30499,733.2024043
CG30503,565.339244
CG3061,1782
CG3062,743
CG3065,1574.64665
CG3071,1722
CG3077,1653.072968
CG3078,3780.771985
CG3081,1845.80014
CG3085,1500.645842
CG3088,637
CG3091,1047.391579
CG3092,1103
CG3097,1784
CG31002,1464
CG31007,559
CG31008,330
CG31010,1128.5
CG31013,1567
CG31016,2842.813999
CG31019,1744.949442
CG31021,1297
CG31028,3576
CG31029,2803
CG31030,1451.375
CG31036,3120.844362
CG31038,2946.119512
CG3104,1885.286947
CG31041,501
CG31050,249
CG31051,637.1041182
CG31053,619
CG31055,1811.046991
CG3106,2250.117502
CG31064,2534.076871
CG31068,2217.626485
CG3107,3075.379086
CG31075,1452.337328
CG31076,416
CG31077,2950
CG3108,3379
CG31086,442.3897492
CG31087,1246.000087
CG31088,497
CG31089,1209
CG31091,1298
CG31093,386
CG31097,1278
CG31098,1288
CG31099,1202
CG31100,2299.343374
CG31102,1556.962065
CG31103,1422
CG31104,1183
CG31106,1477
CG31108,3205.092867
CG31109,695.3182057
CG31111,753
CG31115,782
CG31121,3092.529016
CG31122,3048.033035
CG31125,1251
CG31126,390
CG31128,661
CG31131,1029
CG31139,1109.056545
CG31140,5277.859293
CG31141,762
CG31142,445
CG31145,3467.823597
CG31156,2994
CG31157,1121.12661
CG31161,1467
CG3117,1018
CG31174,520.2518438
CG31176,2312
CG31178,985
CG31183,5051.953326
CG31189,632
CG3119,860.5283683
CG31191,4217
CG31195,3802
CG31198,2820
CG31199,814
CG31200,716
CG31204,1435
CG31205,775.018656
CG31206,633
CG31207,636
CG3121,2085
CG31211,2691.564409
CG31213,5741.00002
CG31219,940
CG31220,1222
CG31221,4119.343528
CG31223,1071
CG31224,6584.685052
CG31226,185
CG31229,578
CG3123,1762
CG31230,217
CG31231,2042
CG31233,2789.760147
CG31235,1464.813538
CG3124,980
CG31244,939
CG31245,766
CG31248,701.3380365
CG31249,977
CG31251,861
CG31253,1029
CG31259,1884.443082
CG31262,1800.08972
CG31265,710
CG31266,794
CG31267,722
CG31268,1389
CG31269,738
CG31272,1903
CG31274,1200
CG31275,395
CG31278,675.1954695
CG31279,526.0668733
CG31286,1635
CG31287,1205.221296
CG31288,1178
CG31294,678
CG31296,805.0748283
CG31300,1275
CG31301,1321
CG31313,336.3979123
CG31321,1999
CG31323,2728.726905
CG31324,1961.193571
CG31326,1562
CG31327,2520
CG31337,650
CG31342,3749.575742
CG31343,2805
CG31344,1251
CG31345,785
CG31347,666
CG31357,1482
CG31358,1780
CG31360,450
CG31365,2136
CG31368,4430.521836
CG31370,1209
CG31371,1502
CG31373,522
CG31380,1136
CG31381,1484.563208
CG31388,1344.476024
CG31391,1505
CG31404,782
CG31406,624
CG31407,565
CG31413,1583
CG31415,521
CG31418,518
CG31419,575
CG31431,1399.084679
CG31436,1203
CG31437,653
CG31441,1020.014502
CG31445,2861.841562
CG31446,670
CG31454,1537
CG31457,1143
CG31459,815
CG31460,433.5948337
CG31463,1076
CG31464,542
CG31465,2868.0672
CG31467,1495
CG31468,435.0861988
CG31469,414
CG31473,782
CG31475,2276.212068
CG31482,593
CG3149,1821
CG31493,722
CG31495,1449.670616
CG31496,831
CG31510,4090
CG31515,270
CG31516,1469
CG31517,671.7388267
CG31522,2461.175984
CG31523,2512.135326
CG31524,1490.5
CG31525,972
CG31528,1029
CG31533,2505
CG31538,1959
CG31542,633
CG31546,800
CG31547,3519.805924
CG31548,753
CG31549,821.8543938
CG31550,2632.014834
CG31551,3983
CG31559,1804
CG3156,2146
CG31560,769
CG3160,3475
CG31600,715
CG31601,2180
CG31606,491
CG31609,356
CG31612,3186.13722
CG31624,631
CG31626,1005.11354
CG31627,703
CG3163,1040
CG31633,1253
CG31635,7504.501597
CG31636,1127.187064
CG31637,2439.622457
CG31638,2442.725611
CG31639,288
CG3164,2645.64623
CG31642,1751
CG31643,2730.686682
CG31644,282
CG31648,699
CG3165,1085.193638
CG31650,1376.773571
CG31659,433
CG31661,1142
CG31663,3405.033986
CG31664,1773.326487
CG31668,1764
CG31673,959.2780394
CG31674,1043.620284
CG31675,952
CG31676,885.8895
CG31677,463
CG31678,4645.77524
CG3168,3121.039126
CG31680,328
CG31681,750
CG31683,1795.027887
CG31687,3559.907039
CG31688,4231.120169
CG31689,2388.000026
CG31690,3049
CG31693,1913.5
CG31694,2440
CG31697,458
CG31698,331
CG31702,1511
CG31703,1528
CG31704,175.8168547
CG31705,2242.52068
CG31706,1031.684719
CG31709,956.0608838
CG31710,643.2105184
CG31712,2068.13334
CG31715,380.8868175
CG31717,628.1566938
CG31728,2473
CG31729,3970.954563
CG31730,481
CG31731,4732.361919
CG31735,1143
CG31740,407
CG31741,1847
CG31743,1407.757833
CG31750,1034
CG31751,1715.747932
CG31752,1367
CG31759,2024.881389
CG3176,392.7454144
CG31760,4303.082131
CG31769,887
CG31773,2294
CG31775,212.5363966
CG31776,1765
CG31777,184
CG31778,817.9215077
CG31780,1284
CG31784,2263
CG31785,1288
CG31787,677
CG31788,184.4428992
CG31789,368
CG31792,4072.513308
CG31793,4221.161548
CG31797,2610
CG31798,1530.81834
CG31800,552
CG31802,624
CG31803,730
CG31804,657
CG31805,1858.321978
CG31806,407
CG31807,559.5515728
CG31808,1730
CG31809,1008.550539
CG31810,939
CG31812,1170
CG31813,574
CG31814,3148.040298
CG31815,1301
CG31816,310
CG31817,7004
CG31819,1491
CG31820,241
CG31821,1188.743704
CG31823,1204
CG31826,872.2436429
CG31827,751
CG31832,563
CG31835,1026
CG3184,980
CG31848,617
CG31849,2000
CG31851,661
CG31855,885.4319153
CG31861,565
CG31862,431
CG31867,571
CG31869,3531.828977
CG31870,451.25
CG31871,2133
CG31872,3155.000001
CG31874,1424
CG31875,907.2349577
CG31882,635
CG31883,935
CG31886,2122.387823
CG31897,3170
CG31898,973
CG31904,3373
CG31907,1275.712662
CG31908,1839.552969
CG31909,395.7159085
CG3191,1027.651518
CG31910,706
CG31913,664
CG31915,2288
CG31917,647
CG31918,2068
CG31921,2227
CG31922,298
CG31924,620
CG31926,1160.90924
CG31928,1269.688663
CG31933,1877
CG31935,2859
CG31937,985
CG31948,968
CG31949,501.5
CG31950,321.7335577
CG31952,978
CG31954,779
CG31955,505.2744882
CG31957,517.5515561
CG31960,477
CG31961,1168.796113
CG31974,1247.590889
CG31975,1152.290545
CG31976,1156.455712
CG3198,4797
CG31988,880.1302045
CG3199,661
CG31997,484.5809553
CG31998,5298.305242
CG31999,2813.508591
CG32000,4760.29567
CG32006,1485
CG32017,3430.002226
CG32022,619.9183197
CG32023,326
CG32024,544
CG32026,2183
CG32032,873
CG32036,510
CG32037,1495.126561
CG32039,544.6757023
CG32040,1165
CG32052,2355.893844
CG32053,1419
CG32054,1576
CG32055,1406
CG32061,621
CG32066,1957.427437
CG32069,157
CG32071,254
CG32073,273
CG32074,241
CG32075,1587.285009
CG32079,1175
CG32081,1367
CG32082,4725.313104
CG32085,2831
CG32086,1325
CG32087,1271
CG3209,1520.338792
CG32091,2768
CG32095,1327
CG32099,858
CG32100,1970
CG32102,345
CG32103,2753.871635
CG32104,3569
CG32105,2441.58275
CG32106,4322
CG32107,3693
CG32109,853
CG32110,1177
CG32112,1622.345446
CG32113,11702
CG32115,1361
CG32117,588
CG32119,1586
CG32121,2621
CG3213,2180
CG32137,2584.185595
CG32138,5260.73963
CG32141,714
CG32147,712
CG32148,257
CG3215,1010
CG32150,1596.363153
CG32152,3836.265381
CG3216,3092
CG32161,575
CG32163,649.7495257
CG32164,3492.813552
CG32165,3472.358968
CG32170,1865
CG32174,1122.093508
CG32176,1729
CG32181,2077
CG32182,1243
CG32187,1127
CG32188,150
CG32189,231
CG32191,1918.955611
CG32192,784.0000484
CG32195,1527.89018
CG32196,599.7544339
CG32198,271
CG32199,1493
CG32201,1574
CG32202,417
CG32204,2790
CG32206,7073
CG32212,531
CG32213,327
CG32214,390.350249
CG32219,798
CG3222,1155
CG32221,1407
CG32225,1094
CG32228,2788
CG3223,1289
CG32232,2729
CG32235,398
CG32236,1264
CG32237,2749
CG32238,1831
CG3224,652
CG32240,446
CG32241,1176
CG32243,1440
CG32246,1568
CG32248,420
CG32249,752
CG3225,2188
CG32259,554
CG3226,695
CG32260,1103
CG32262,852
CG32263,604
CG32264,4035.330224
CG32266,327
CG32267,290
CG32269,1423.054952
CG32270,1838
CG32271,726
CG32276,567.7955773
CG32277,651
CG32278,646
CG32280,954.5900548
CG32281,1340
CG32284,258
CG32295,976
CG32298,1006
CG32299,1006
CG32301,3304.073554
CG32302,880
CG32305,3296
CG32313,535.4851686
CG32318,586
CG32319,1012
CG32320,2392
CG32333,5705.913938
CG32335,883
CG32344,2495
CG32354,3052
CG32365,2369.045214
CG32368,211
CG32369,5237.525885
CG32371,885
CG32373,1749.990325
CG32374,701
CG32376,677
CG32379,1039
CG3238,2367.230542
CG32388,791
CG32391,567
CG32392,1921.905197
CG32395,917
CG32396,1450
CG32407,805.272852
CG32409,1032
CG32413,797
CG32425,1100.546033
CG32428,1362.619247
CG32432,4258.010305
CG32436,5208
CG32437,1986
CG32440,434
CG32441,688.7401809
CG32442,734.2266927
CG32444,1081
CG32445,1153
CG32447,2838.742323
CG32448,213.6459878
CG32450,622
CG32452,1894.703553
CG32453,393.5
CG32454,1636
CG32457,389
CG32459,1177
CG3246,1312
CG32461,683
CG32462,1044
CG32473,3029.084285
CG32483,1183
CG32485,937
CG32486,2157
CG32487,841
CG32488,943.5
CG32495,1706.857131
CG32500,885
CG32506,4820.886656
CG32507,807
CG3251,1486
CG32512,1983.324951
CG32521,1461.323989
CG32523,692
CG3253,1334
CG32532,4079
CG32533,3341.978
CG32536,688
CG32537,1953.054053
CG32544,1408.909944
CG32547,4281.801775
CG32548,1183
CG32549,2279.738315
CG32551,194
CG32554,618
CG32557,1932
CG32563,317
CG32564,1249
CG32568,1390.999625
CG3257,2712
CG32572,2065
CG32573,1159.565636
CG32576,1072.387182
CG32579,1069.680341
CG32581,1166.299268
CG32588,478
CG3259,1644
CG32590,500
CG32591,1300
CG32599,1034
CG32603,945
CG3262,923.7650377
CG32625,396
CG32631,1090
CG32633,841.147162
CG32638,1374
CG32639,443
CG3264,1630.929962
CG32640,267
CG32641,267
CG32642,1158.13791
CG32643,349
CG32645,3338
CG32647,3652.456254
CG32649,2081
CG32650,968
CG32651,3520
CG32655,1051
CG32668,2477
CG32669,2186
CG3267,1942
CG32676,5300.167281
CG32679,685
CG32681,4503
CG32683,4735.223757
CG32686,3390.098941
CG32687,2157.975305
CG32694,2585.644407
CG32695,303.789804
CG32698,2283.25749
CG3270,1250
CG32700,2693.767825
CG32706,673
CG32708,656
CG32712,401
CG32713,540.7288212
CG32718,763.0425502
CG32719,3846
CG32720,1136
CG32726,145.2309318
CG32727,389
CG32732,1990
CG32736,437.5204659
CG32750,1446
CG32751,1434.712638
CG32755,1148
CG32756,1776.503912
CG32758,2940.802765
CG32762,623
CG32767,7684.777107
CG3277,3276
CG32772,2476.735246
CG32783,3107
CG32786,3108
CG32793,2488
CG32795,1572.99882
CG32797,732
CG32801,738
CG32803,649.5379881
CG32806,604
CG32808,864
CG32809,5688.309162
CG3281,1671
CG32811,205
CG32812,1090.779311
CG32813,3275.520732
CG32814,1465
CG32815,2820.859206
CG32816,1518.871033
CG32817,492.226396
CG32819,1860.501546
CG32820,1939.515223
CG32829,666
CG32832,491.5551115
CG32833,863
CG32834,1553
CG32845,1773
CG32846,1146.151988
CG32847,531
CG3285,1428.407282
CG32850,2544.611206
CG32855,1814
CG32856,396.257114
CG32857,860
CG3288,605.5845089
CG3292,1514
CG32939,1065
CG3294,1243.611592
CG32944,2031.97373
CG32945,507
CG3295,1654
CG32971,544.4523066
CG32982,2483.329926
CG32983,622
CG32984,1736
CG32985,1763
CG32986,769
CG32987,838
CG32988,630
CG33003,1769.211984
CG3301,773.5867226
CG33012,2650
CG33017,4959.111175
CG3303,1446
CG33051,520
CG33052,1192
CG33054,503.3408629
CG33056,1337.388374
CG33057,2869.489694
CG3306,827
CG33060,269
CG33061,1079
CG33062,741.8074582
CG3308,1925
CG33080,2798.895724
CG33082,1706.532298
CG3309,2414.443722
CG33090,3224.434855
CG33093,856
CG33095,3361.018774
CG33096,2678.463513
CG33098,771.166902
CG33099,1049
CG33107,868
CG33108,692.606991
CG33109,826
CG33110,1806
CG33111,2133.75647
CG33116,2313
CG33120,2102
CG33124,1895
CG33125,3731.000001
CG33127,792
CG33128,1188
